Kịch bản,"Bạn đang chuẩn bị mua một chiếc điện thoại mới để phục vụ công việc. Do bạn đã tiết kiệm trong một thời gian nên ngân sách của bạn là khoảng 30 triệu đồng. Bạn đã có sẵn tài khoản EShop và đang đăng nhập. Hãy hoàn tất việc mua một thiết bị và tận dụng mã giảm giá `VIP100`.


Tóm lại: Thêm điện thoại vào giỏ hàng → Bấm xem giỏ hàng → Checkout với coupon `VIP100` → Thanh Toán đơn hàng",
Tên người test,,
SĐT,,
,,
Câu hỏi thang đo,(1 = Hoàn toàn không đồng ý → 5 = Hoàn toàn đồng ý),
STT,Câu hỏi,Trả lời
1,Tôi nghĩ tôi sẽ muốn dùng hệ thống này thường xuyên.,3
2,Tôi thấy hệ thống này phức tạp một cách không cần thiết.,1
3,Tôi thấy hệ thống này dễ sử dụng.,4
4,Tôi nghĩ mình cần người rành kỹ thuật hỗ trợ mới dùng được hệ thống này.,2
5,Tôi thấy các chức năng trong hệ thống này được tích hợp tốt với nhau.,3
6,Tôi thấy hệ thống này có quá nhiều điểm thiếu nhất quán.,4
7,Tôi nghĩ hầu hết mọi người sẽ học cách dùng hệ thống này rất nhanh.,4
8,"Tôi thấy hệ thống này rất cồng kềnh, bất tiện khi dùng.",2
9,Tôi cảm thấy rất tự tin khi dùng hệ thống này.,4
10,Tôi cần học nhiều thứ trước khi có thể bắt đầu dùng hệ thống này.,2
,,
Câu hỏi mở,,
Nhóm,Câu hỏi,Trả lời
Clarity,"Phần nào của luồng mua hàng rõ ràng hoặc khó hiểu với bạn, và vì sao?",Không chỗ nào khó hiểu
Clarity,Có thông tin nào bạn muốn được hiển thị rõ hơn trước khi tiếp tục không?,Bấm thêm sản phẩm vào giỏ hoặc bấm thanh toán phải có thông báo để biết hành động vừa thực hiện thành công
Error recovery,"Khi gặp một điều không như bạn mong đợi, bạn đã làm gì để tiếp tục?",Khi nhấn thanh toán thì cần có confirm lại 
Error recovery,Hệ thống có giúp bạn hiểu cách xử lý vấn đề đó không? Vì sao?,"không, vì hệ thống không có hướng dẫn hay thông báo cho người dùng"
Speed,Bạn cảm nhận thế nào về tốc độ thực hiện luồng mua hàng này?,Trung bình
Speed,Có thời điểm nào bạn phải chờ hoặc không chắc hệ thống đang xử lý gì không?,Không
Trust,Điều gì khiến bạn tin tưởng hoặc chưa tin tưởng rằng đơn hàng đã được ghi nhận?,Không có thông báo gì khi thực hiện thao tác
Trust,Bạn cần thấy thêm thông tin gì để tự tin rằng đơn hàng đã hoàn tất?,Mốt cái pop up thông báo thành công
